Listing_ID,Location,Postal_code,Area,Property_type,Property_sub_type,Furnished,Lease_term,Short_term,Parking_spot,Parking_type,Heating,Water,Electricity,Internet,Cable,Year_built,Price,Age,Neighborhood
556916,"1236 rue Saint-Marc - Montréal, QC",H3H 2E5,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1300,,Downtown
432930,"1595 Rachel - Montréal, QC",H2J 4A7,292.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,870,,Mont-Royal
405090,"3014 Avenue Van Horne - Montréal, QC",H3S 1R2,653.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1560,,Côte-des-Neiges
569970,"1212 Bishop - Montréal, QC",,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,1600,,
567686,"1433 Avenue de la Gare - Mascouche, QC",J7K 0X8,570.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,2021,1130,1.0,MascoucheExtremities
567687,"6760 Boulevard Newman - Montréal, QC",H8N 0H4,544.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,2021,1335,1.0,MontrealNorthwest LaSalle
570002,"1235 rue Bishop - Montréal, QC",H3G 0A6,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1430,,Downtown
569677,"688 Rue Notre-Dame Ouest - Montréal, QC",H3C 0S5,650.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1550,,Griffintown
569570,"406 St. Franxois Xavier - Montréal, QC",H2Y 2S9,1122.0,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,3350,,Old Montreal
569427,"1351 Ontario E - Montréal, QC",H2L 1S2,500.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,2022,1375,0.0,Le Village
561123,"790 Rue William - Montréal, QC",H3C 2M2,712.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,2018,1650,4.0,Griffintown
569056,"200 Kensington - Beaconsfield, QC",H9W 2J3,635.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,1957,1250,65.0,Beaconsfield
556864,"5265 rue MacKenzie - Montréal, QC",H3W 0B2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1595,,Côte-des-Neiges
500304,"154 rue Charlotte - Montréal, QC",H2X 4A2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1225,,Mont-Royal
500301,"178 rue Charlotte - Montréal, QC",H2X 4A2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1225,,Mont-Royal
447923,"3014 Van Horne - Montréal, QC",H3S 1R2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1560,,Côte-des-Neiges
353489,"10150 Boulevard Saint-Laurent - Ahuntsic-Cartierville, QC",H3L 2N8,496.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,2019,1150,3.0,MontrealSouthwest Ahuntsic
464005,"4350 Hotel de Ville - Montréal, QC",H2W 2H5,756.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,2040,,Mont-Royal
482541,"2925 Rue Louis-Paré - Lachine, QC",H8S 1K9,665.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,1967,1225,55.0,MontrealEast Lachine
559692,"1555 Laval Boulevard - Laval, QC",H7S 2N5,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1370,,LavalNortheast Chomedey
559691,"6500 boulevard Décarie - Montréal, QC",,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1180,,
559689,"2130 rue Laforce - Montréal, QC",H2K 0B9,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1365,,MontrealNorth Centre-Sud(Sainte-Marie)
559687,"1600 rue Des Cascades Ouest - Saint-Hyacinthe, QC",J2S 5C4,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1320,,Saint-HyacintheSouthwest
371554,"3460 Rue Durocher - Montréal, QC",H2X 2E3,500.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1345,,Mont-Royal
549055,"1375 Croissant Sherwood - Mount Royal, QC",H3R 3C8,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1449,,Mount RoyalCentral
546076,"496-509 Delmar Avenue & 380 Hearne Street - Pointe-Claire, QC",H9R 5V4,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,1100,,Pointe-ClaireNorth Central
464194,"130 St Joseph Blvd E - Montréal, QC",H2T 1H3,800.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,1964,1740,58.0,Mont-Royal
400063,"539 Prince-Arthur west - Montréal, QC",H2X 1T6,400.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1200,,Mont-Royal
540344,"4760, Chemin de la Côte-des-Neiges - Montréal, QC",H3V 1G3,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1110,,Côte-des-Neiges
444777,"4530 Avenue Coloniale - Montréal, QC",H2T 1W2,425.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1145,,Mont-Royal
534879,"8500 Viau - Montréal, QC",H1R 0E4,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,2021,1350,1.0,MontrealWest Saint-Léonard
532730,"939 & amp; 959 Côte-Vertu Blvd - Saint-Laurent, QC",,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1000,,
532729,"1285 Decarie Street - Saint-Laurent, QC",H4L 3N2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,850,,Saint-Laurent
531137,"139 St. Paul West - Montréal, QC",H2Y 1Z3,1000.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,2760,,Old Montreal
530395,"645 Avenue Gordon - Montréal, QC",H4G 2R7,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1100,,MontrealNorth Verdun
530388,"3505 Sainte-Famille, - Montréal, QC",H2X 2L3,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1000,,Mont-Royal
528774,"6255 Gouin Ouest - Ahuntsic-Cartierville, QC",H4K 1A7,870.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1585,,MontrealSouthwest Cartierville
433102,"2041 Stanley st - Montréal, QC",H3A 0B7,500.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,2018,1750,4.0,Downtown
524981,"5150 MacDonald Ave. - Montréal, QC",H3X 2V9,760.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,1972,1395,50.0,Hampstead
511182,"1226-1230 Rue du Fort - Montréal, QC",H3H 2B3,452.0,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,1870,1275,152.0,Downtown
489298,"1222 Rue des Bassins - Montréal, QC",H3C 0X7,420.0,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,3500,,Griffintown
341742,"1212 Avenue des Pins Ouest - Montréal, QC",H3G 1A9,1022.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1595,,Downtown
341721,"2050 Boulevard de Maisonneuve Ouest - Montréal, QC",H3H 1K7,504.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1415,,Downtown
341740,"2125 rue Saint-Marc - Montréal, QC",H3H 2P1,602.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1385,,Downtown
341643,"345 rue de la Gauchetière Ouest - Montréal, QC",H2Z 0A2,705.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,1560,,Downtown
482549,"4035-4055 Rue Lanouette - Montréal, QC",H4G 1B5,538.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,1250,,MontrealNorth Verdun
482543,"6325 Blvd Maurice-Duplessis - Montréal-Nord, QC",H1G 5X9,600.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,1974,895,48.0,MontrealNorth Montréal-Nord
330922,"400 RENE-LEVESQUE BLVD W - Montréal, QC",H2Z 1V5,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1750,,Downtown
363238,"6505 Cote Saint Luc Rd - Côte Saint-Luc, QC",H4V 1G3,815.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,1295,,Côte Saint-Luc
460881,"3280 Cavendish Boulevard - Montréal, QC",H4B 2M7,757.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1325,,Notre-Dame-de-Grâce
288550,"4875 avenue Dufferin - Hampstead, QC",H3X 2Z2,670.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1449,,Hampstead
371954,"135 Place Côte-Vertu - Saint-Laurent, QC",H4N 1G4,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1495,,Saint-Laurent
569924,"4949 chemin Queen-Mary - Montréal, QC",H3W 1X4,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1247,,Côte-des-Neiges
344793,"2235 Avenue Prud'Homme - Montréal, QC",H4A 3H3,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1275,,Notre-Dame-de-Grâce
352311,"1896 Avenue d'Orléans - Mercier-Hochelaga-Maisonneuve, QC",H1W 3R5,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,1445,,Montreal(Hochelaga)
364303,"110 Rue Sainte-Thérèse - Montréal, QC",H2Y 1E6,480.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1650,,Old Montreal
341704,"1436 rue Mackay - Montréal, QC",H3G 2H8,569.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,Yes,No,0,1395,,Downtown
341705,"1420 rue Crescent - Montréal, QC",H3G 2B7,504.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1410,,Downtown
341657,"99-101 Place Charles-LeMoyne - Montréal, QC",J4K 4Y9,602.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1120,,LongueuilSouthwest
484090,"468 Rue McGill - Montréal, QC",H2Y 2H2,684.0,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,No,No,Yes,No,No,No Info,1400,,Old Montreal
460869,"5885 Cavendish Boulevard - Côte Saint-Luc, QC",H4W 3H4,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1449,,Côte Saint-Luc
372488,"4555 Saint Kevin - Montréal, QC",H3T 1J1,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,1099,,Côte-des-Neiges
352315,"5220 Rue Jeanne-Mance - Montréal, QC",H2V 0A2,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,nan,,Outremont
293898,"222 Rue de Woodstock - Saint-Lambert, QC",J4P 3R3,618.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,1219,,Saint-LambertNorth
439041,"1620 Avenue Victoria - Montréal, QC",,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1025,,
504764,"369 Clarke Avenue - Montréal, QC",H3Z 2E7,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,No,No,No,No,No Info,1095,,Westmount
504748,"3530 Durocher - Montréal, QC",H2X 2E5,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,1195,,Mont-Royal
547392,"1200 Rue Saint-Alexandre - Montréal, QC",H3B 3H5,725.0,Room,Private Room,Yes,negotiable,Yes,1,Underg,Yes,Yes,Yes,No,No,No Info,1100,,Downtown
566421,"2111 Tupper - Montréal, QC",,650.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,1965,1455,57.0,
346457,"2070 Boulevard de Maisonneuve Ouest - Montréal, QC",H3H 1K8,642.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1530,,Downtown
506432,"1235 Rue Bishop - Montréal, QC",H3G 0A6,476.0,Condo,No Info,Yes,1-year,No,No Info,No Parking,No,Yes,No,No,No,2014,1500,8.0,Downtown
569583,"11201 Cavendish - Saint-Laurent, QC",H4R 0R1,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1635,,Saint-Laurent
569577,"6 St. Viateur West - Montréal, QC",H2T 2K6,744.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1700,,Mont-Royal
556822,"2061 rue Stanley - Montréal, QC",H3A 0B7,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,1425,,Downtown
539411,"6945 fielding - Montréal, QC",H4V 1P4,800.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1233,,Côte Saint-Luc
548189,"320 & 360 Boulevard Thompson - Saint-Laurent, QC",,670.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,819,,
548184,"415 Boulevard Cote-Vertu - Saint-Laurent, QC",H4N 1E7,815.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,925,,Saint-Laurent
548182,"395 Boulevard Cote-Vertu - Saint-Laurent, QC",,525.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,831,,
548181,"1105 Boul Jules Poitras - Saint-Laurent, QC",H4N 1X6,722.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,No Info,925,,Saint-Laurent
376830,"4580 Chemin Queen Mary - Montréal, QC",H3W 1W6,538.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,1495,,Côte-des-Neiges
407025,"1565 Avenue Victoria - Saint-Lambert, QC",J4R 1R6,626.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,1190,,Saint-LambertCentral
443393,"1951 Maisonneuve Est - Montréal, QC",,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,Yes,No,No,0,1545,,
280026,"5120 avenue Earnscliffe - Montréal, QC",H3X 2P6,858.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1579,,Hampstead
353891,"2255 Rue Lambert-Closse - Montréal, QC",H3H 1Z9,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,2009,,Downtown
351071,"255-265 Avenue Brock S - Montréal-Ouest, QC",H4X 0A3,663.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1450,,Côte Saint-Luc
548112,"6670 Rue Jeanne-Mance - Montréal, QC",H2V 4L2,720.0,Apartment,Apartment,Yes,1-year,No,1,Driveway,No,No,No,No,No,No Info,2195,,Outremont
540341,"4080, 4100, 4120, 4140 Chemin de la Côte-Sainte-Catherine - Montréal, QC",,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,890,,
371563,"3468 Rue Drummond - Montréal, QC",H3G 1Y4,780.0,Apartment,Apartment,Yes,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1725,,Downtown
439007,"150, rue St-Norbert - Montréal, QC",H2X 1G6,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1435,,Mont-Royal
569268,"3505 Sainte-Famille - Montréal, QC",H2X 2L3,700.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,1967,1100,55.0,Mont-Royal
569260,"252 St. Paul East - Montréal, QC",H2Y 1G9,918.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1840,,Old Montreal
567122,"3400 Avenue Ridgewood - Montréal, QC",H3V 1C2,800.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1350,,Côte-des-Neiges
524982,"5500 MacDonald Ave. - Côte Saint-Luc, QC",H3X 2W4,760.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1350,,Hampstead
359508,"1010 Cherrier - Montréal, QC",H2L 1H8,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,1955,1600,67.0,Le Village
341649,"450 rue Sherbrooke Est - Montréal, QC",H2X 3L1,600.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,Yes,No,No,0,1505,,Mont-Royal
352316,"5638 Av du Parc - Montréal, QC",H2V 4H1,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,0,1899,,Outremont
403239,"1000 Rue Pratt - Outremont, QC",H2V 2V3,688.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1425,,Outremont
371957,"1300 Boulevard de la Côte-Vertu - Saint-Laurent, QC",H4L 1Y9,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,No,Yes,No,No,0,1100,,Saint-Laurent
439043,"5740, boulevard Cavendish - Côte Saint-Luc, QC",H4W 2T8,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1120,,Côte Saint-Luc
439028,"6465, rue Sherbrooke Est - Mercier-Hochelaga-Maisonneuve, QC",H1N 1C5,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1090,,MontrealSoutheast Mercier
351497,"1607 St. Catherine St. W - Montréal, QC",H3H 1L8,340.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1100,,Downtown
429414,"3635 Avenue Ridgewood - Montréal, QC",H3V 1B4,700.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,0,1200,,Côte-des-Neiges
500306,"888 rue Saint-François-Xavier - Montréal, QC",H2Y 0A8,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1300,,Old Montreal
527168,"1795 rue Berri - Montréal, QC",H2L 0B1,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,No,Yes,No,No,No Info,1350,,Le Village
528801,"888 Francois Xavier St - Montréal, QC",H2Y 0A8,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1300,,Old Montreal
464004,"1800 av Victoria - Saint-Lambert, QC",J4V 1M3,714.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1295,,Longueuil(Greenfield Park)
378414,"2100 du Fort Street - Montréal, QC",H3H 2C6,625.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,No Info,1505,,Downtown
529390,"4930 Queen-Mary road - Montréal, QC",H3W 1X2,652.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,Yes,Yes,No,No,No,No Info,1495,,Côte-des-Neiges
540340,"2525, boulevard Cavendish - Montréal, QC",H4B 2Y6,,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1020,,Notre-Dame-de-Grâce
443737,"2045 Lambert-Closse - Montréal, QC",H3H 1Z7,438.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,No,No,No,No,No Info,1395,,Downtown
490475,"5881 avenue Monkland - Montréal, QC",H4A 1G5,850.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1699,,Notre-Dame-de-Grâce
301477,"2054 avenue Claremont - Montréal, QC",H3Z 2P8,750.0,Apartment,Apartment,No Info,1-year,No Info,No Info,No Info,No,Yes,No,No,No,0,1349,,Westmount
